Price,Close,High,Low,Open,Volume
Ticker,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD,WBTC-USD
Date,,,,,
2025-02-06,96537.78125,98878.1015625,95994.171875,96588.734375,360221875
2025-02-07,96341.328125,99802.078125,95715.7890625,96536.3359375,573369160
2025-02-08,96413.0546875,96715.6484375,95745.2109375,96342.3203125,232277990
2025-02-09,96177.4375,97091.015625,94758.8984375,96416.0625,276800121
2025-02-10,97166.5234375,97929.2890625,95480.3984375,96176.4375,485732185
2025-02-11,95738.6484375,98226.21875,94951.8125,97166.59375,297154622
2025-02-12,97555.984375,97770.8046875,94443.0390625,95737.421875,716216393
2025-02-13,96485.453125,97759.9453125,95378.46875,97562.5078125,402345506
2025-02-14,97234.4765625,98456.1015625,96462.234375,96485.4296875,254856657
2025-02-15,97407.4921875,97595.578125,97167.3203125,97234.859375,112624794
2025-02-16,96161.8984375,97508.109375,96152.828125,97409.7421875,116424370
2025-02-17,95745.734375,96736.7890625,95266.7734375,96164.0234375,315030673
2025-02-18,95244.8515625,96335.9453125,93481.28125,95746.3203125,330710308
2025-02-19,96423.1015625,96520.0625,95027.8515625,95246.65625,169046113
2025-02-20,98147.765625,98406.7578125,96322.46875,96423.2265625,189077690
2025-02-21,95840.4140625,99225.1015625,94920.203125,98147.515625,456685579
2025-02-22,96503.8203125,96663.09375,95759.5078125,95835.03125,208096194
2025-02-23,96111.1328125,96539.953125,95406.046875,96503.84375,272941773
2025-02-24,91634.0625,96308.8359375,91634.0625,96111.9921875,434514936
2025-02-25,88609.4609375,92294.671875,86210.6640625,91617.515625,630492311
2025-02-26,83899.34375,88974.96875,82940.4609375,88609.2734375,495786240
2025-02-27,84592.1640625,86558.9609375,82832.2265625,83916.953125,351963186
2025-02-28,84194.65625,84608.5234375,78451.5546875,84591.2734375,649418985
2025-03-01,85785.2265625,86116.4296875,83848.390625,84188.078125,206903207
2025-03-02,94060.1640625,94389.25,85042.671875,85784.6484375,694087721
2025-03-03,86057.9296875,94095.3359375,85389.6953125,94060.15625,563122069
2025-03-04,87111.09375,88416.5,81932.078125,86053.3515625,487271682
2025-03-05,90423.1015625,90524.484375,86460.8203125,87110.9609375,278390880
2025-03-06,89875.640625,92428.1328125,88063.4140625,90423.7578125,290332880
2025-03-07,86526.6640625,90361.4765625,85265.6015625,89873.953125,446279466
2025-03-08,86044.2734375,86664.9921875,85660.125,86524.828125,188268694
2025-03-09,80556.6484375,86200.21875,80294.4296875,86045.9453125,323751315
2025-03-10,78761.3359375,83371.8046875,77509.34375,80564.703125,534897976
2025-03-11,82580.984375,83094.8203125,76712.5625,78724.5703125,403862740
2025-03-12,83489.4765625,83751.8046875,80795.28125,82581.390625,276424952
2025-03-13,80989.4453125,83846.859375,79945.7734375,83487.0703125,246591910
2025-03-14,83857.21875,84908.78125,80785.46875,80994.4375,169174191
2025-03-15,84177.2578125,84351.125,83684.3203125,83857.46875,83090642
2025-03-16,82370.6796875,84194.828125,82047.15625,84172.2578125,138814997
2025-03-17,83885.2578125,84397.359375,82377.890625,82377.890625,186722323
2025-03-18,82580.9140625,83885.3359375,81203.0390625,83885.3359375,169098906
2025-03-19,86595.1875,86665.6875,82547.171875,82579.0,275516455
2025-03-20,84091.1015625,87021.5546875,83687.0859375,86600.640625,209716606
2025-03-21,83955.59375,84509.7890625,83299.046875,84094.03125,157271964
2025-03-22,83741.625,84304.6171875,83708.2578125,83959.53125,82952591
2025-03-23,85577.1953125,85577.1953125,83732.9921875,83741.5859375,102103744
2025-03-24,87306.15625,88416.734375,85431.9765625,85579.1953125,247599729
2025-03-25,87344.078125,88142.921875,86388.2734375,87307.359375,275363958
2025-03-26,86753.65625,88041.34375,85936.6875,87341.4140625,208119768
2025-03-27,87062.8203125,87524.546875,85903.546875,86756.9609375,166282171
2025-03-28,84229.0625,87256.6796875,83597.5078125,87062.71875,262891208
2025-03-29,82467.3125,84412.90625,81747.9453125,84230.65625,135553623
2025-03-30,82226.6015625,83287.9140625,81734.484375,82465.625,114509781
2025-03-31,82417.640625,83588.96875,81354.734375,82227.8671875,203618275
